review_text,evaluation,task_id,user_id
"Быстро и качественно. Всегда на связи, правки вносились оперативно.",5,1,1
"Оперативно и профессионально, всегда на связи.",5,4,3
"Четко следует желаниям заказчика, при этом предлагая свои интересные идеи и консультируя по техническим вопросам. Оперативно отвечает на запросы, придерживается согласованных сроков.",5,3,1
"Работать было очень приятно - всегда на связи, оперативные ответы, профессиональные рекомендации как сделать лучше",5,3,1
"Результат превысил Все мои ожидания и реализован быстрее в 2.5 раза установленных сроков",5,4,3
"Работа выполнена плохо, не прислушивался к пожеланиям",2,5,5
"Выполнил мою задачу в два раза быстрее чем я ставил сроки",5,6,5
"Очень порядочный исполнитель",5,7,8
"Работа выполнена ужасно, совсем не соответствует с требованиям и нарушены оговоренные сроки",2,8,8
"Ужасный специалист. Работу делает плохо, нарушает сроки.",1,9,8
"Проект реализовал быстро и качественно",5,10,8
